sku_id,category,brand,customer_segment,hour_of_day,day_of_week,is_weekend,is_festival,inventory_level,inventory_days_cover,competitor_price,click_through_rate,conversion_rate,units_sold_last_5m,units_sold_last_1h,base_cost,current_price,optimal_price
SKU-1000,beauty,brand_a,standard,2,1,0,0,9,12.27,2608.75,0.0336,0.0133,2,21,1878.96,2630.78,3420.01
SKU-1001,fashion,brand_d,standard,21,6,1,0,23,16.53,2396.91,0.0421,0.0779,5,19,1695.92,2413.72,3131.41
SKU-1002,grocery,brand_c,standard,4,0,0,0,56,14.15,1285.76,0.0516,0.0596,4,24,1177.49,1368.26,1707.77
SKU-1003,beauty,brand_d,premium,22,2,0,0,42,16.73,2507.9,0.0512,0.0677,5,13,1381.65,2581.42,3016.14
SKU-1004,electronics,brand_b,standard,9,3,0,0,14,24.06,2704.88,0.123,0.0433,4,18,1654.17,2843.35,3326.27
SKU-1005,grocery,brand_d,loyal,4,6,1,1,11,18.31,1026.8,0.0778,0.0759,6,41,748.7,1033.86,1344.02
SKU-1006,beauty,brand_b,standard,1,5,1,0,31,6.37,602.73,0.0285,0.0689,5,27,414.67,596.82,775.87
SKU-1007,beauty,brand_b,standard,21,6,1,0,169,10.11,753.59,0.088,0.0326,4,18,504.97,788.21,830.63
SKU-1008,electronics,brand_b,budget,17,3,0,0,81,15.95,1275.13,0.1093,0.0259,7,22,939.5,1295.59,1606.91
SKU-1009,fashion,brand_c,standard,10,5,1,0,47,16.66,267.44,0.0372,0.011,4,20,193.48,276.85,287.71
SKU-1010,fashion,brand_a,premium,22,2,0,0,5,21.4,3191.85,0.0119,0.0707,2,19,1907.7,3315.76,4306.46
SKU-1011,grocery,brand_c,budget,20,1,0,0,15,15.94,1604.74,0.0936,0.0242,4,14,1517.35,1550.25,2015.32
SKU-1012,beauty,brand_d,loyal,4,6,1,0,106,15.83,1439.34,0.0267,0.0292,5,35,906.39,1481.3,1805.92
SKU-1013,grocery,brand_a,budget,12,4,0,0,162,2.81,945.3,0.0199,0.0303,4,18,870.63,1002.07,1031.05
SKU-1014,fashion,brand_d,premium,15,0,0,0,71,11.66,1487.99,0.081,0.072,1,20,1022.93,1536.14,1960.02
SKU-1015,electronics,brand_d,premium,16,2,0,1,172,4.0,1928.01,0.0415,0.0634,9,26,1164.51,1961.58,2550.05
SKU-1016,home,brand_a,loyal,12,1,0,0,40,12.1,1170.69,0.1435,0.0623,3,22,923.7,1240.04,1540.13
SKU-1017,electronics,brand_c,standard,6,3,0,0,139,8.63,3285.4,0.0995,0.0217,1,18,2164.95,3358.03,3509.11
SKU-1018,grocery,brand_b,premium,5,4,0,0,73,19.5,310.97,0.0864,0.0294,1,22,221.15,311.22,347.32
SKU-1019,home,brand_c,budget,4,1,0,0,117,3.85,1828.33,0.0817,0.051,2,13,1553.19,1790.19,2123.74
SKU-1020,beauty,brand_b,standard,11,6,1,0,127,17.19,1890.76,0.0691,0.0254,10,20,1361.69,1885.77,2218.09
SKU-1021,fashion,brand_a,premium,13,6,1,0,50,25.39,1529.51,0.1,0.0706,5,21,943.72,1529.87,1862.36
SKU-1022,grocery,brand_b,budget,22,4,0,0,55,10.97,247.28,0.0624,0.0083,2,15,204.98,249.19,256.56
SKU-1023,grocery,brand_a,premium,3,1,0,0,54,8.5,2343.64,0.0644,0.0135,4,19,1650.74,2333.47,2469.68
SKU-1024,beauty,brand_b,standard,11,1,0,0,53,20.71,332.25,0.038,0.0314,2,11,212.59,348.11,341.16
SKU-1025,electronics,brand_d,standard,14,6,1,0,74,24.9,2472.0,0.0746,0.0715,7,18,1621.06,2439.5,3171.35
SKU-1026,home,brand_d,standard,10,3,0,0,48,25.29,1967.79,0.0791,0.0679,4,20,1493.42,2059.55,2251.04
SKU-1027,electronics,brand_a,budget,0,0,0,0,103,21.58,1127.01,0.1381,0.0675,4,17,729.97,1110.61,1351.28
SKU-1028,electronics,brand_c,standard,16,2,0,0,118,11.34,781.44,0.0224,0.0114,8,15,520.5,840.5,866.26
SKU-1029,beauty,brand_a,loyal,4,5,1,0,85,8.19,2004.25,0.0828,0.0715,4,21,1256.96,2049.45,2540.53
SKU-1030,beauty,brand_a,budget,17,4,0,0,71,15.66,1108.99,0.1252,0.0262,3,35,775.81,1118.11,1260.94
SKU-1031,grocery,brand_c,standard,6,5,1,0,150,17.76,2194.57,0.0924,0.0089,4,14,1785.4,2212.26,2131.55
SKU-1032,fashion,brand_b,budget,16,4,0,0,135,1.53,866.47,0.0505,0.0592,7,20,627.74,888.09,898.29
SKU-1033,fashion,brand_c,standard,4,1,0,0,90,9.74,2866.95,0.1304,0.0557,3,16,2090.26,2994.7,3289.07
SKU-1034,home,brand_a,premium,14,3,0,0,167,10.91,463.86,0.0416,0.0797,6,17,343.12,459.85,581.37
SKU-1035,electronics,brand_a,loyal,2,3,0,0,126,12.47,1126.65,0.148,0.0155,2,16,653.11,1182.71,1092.75
SKU-1036,electronics,brand_c,standard,7,6,1,0,68,3.57,1687.22,0.0727,0.0418,4,20,1150.11,1675.73,2099.84
SKU-1037,home,brand_a,budget,18,2,0,1,65,25.67,1410.35,0.0748,0.0705,11,28,1106.56,1473.97,1894.43
SKU-1038,electronics,brand_a,budget,6,2,0,0,92,26.47,3111.5,0.1081,0.0109,2,21,1966.89,3006.6,3141.44
SKU-1039,beauty,brand_d,standard,10,1,0,0,69,24.12,298.32,0.0972,0.0097,3,25,190.7,304.2,321.49
SKU-1040,fashion,brand_c,standard,10,2,0,0,108,23.62,2238.63,0.145,0.0275,4,28,1778.08,2206.33,2838.19
SKU-1041,grocery,brand_d,loyal,6,4,0,0,146,4.46,628.56,0.0554,0.0737,7,21,457.52,662.59,670.12
SKU-1042,beauty,brand_c,budget,13,3,0,0,21,22.76,836.78,0.0276,0.0438,5,22,608.02,808.4,999.31
SKU-1043,fashion,brand_b,premium,7,5,1,0,108,10.6,473.02,0.0669,0.0359,9,30,291.39,481.19,565.24
SKU-1044,grocery,brand_c,standard,12,0,0,0,70,5.29,1745.83,0.0331,0.0735,3,19,1498.65,1873.72,2267.42
SKU-1045,grocery,brand_d,loyal,19,4,0,0,87,19.06,1271.38,0.1007,0.0513,4,9,995.66,1301.59,1494.7
SKU-1046,fashion,brand_c,loyal,18,6,1,0,44,22.37,940.66,0.042,0.0771,3,19,677.61,937.7,1219.01
SKU-1047,fashion,brand_b,loyal,5,5,1,0,17,7.74,2896.99,0.0673,0.0481,4,21,1867.41,3064.75,3623.28
SKU-1048,beauty,brand_d,standard,16,3,0,0,74,6.08,3183.43,0.1103,0.0245,4,22,2086.74,3330.73,3603.2
SKU-1049,electronics,brand_c,standard,18,5,1,0,166,4.25,1931.45,0.0236,0.01,4,20,1231.33,1854.44,2049.12
SKU-1050,electronics,brand_d,budget,13,5,1,0,99,21.23,2507.99,0.1468,0.0129,7,25,1791.35,2416.77,3074.7
SKU-1051,electronics,brand_c,budget,17,2,0,0,106,14.85,447.93,0.1466,0.0656,6,16,308.63,437.49,551.17
SKU-1052,beauty,brand_b,standard,10,2,0,0,135,21.27,2270.61,0.0549,0.0529,5,13,1559.86,2277.84,2572.34
SKU-1053,beauty,brand_d,loyal,1,6,1,0,107,10.6,1626.09,0.0264,0.0443,4,20,1090.22,1612.38,2096.09
SKU-1054,beauty,brand_c,standard,13,5,1,0,131,13.24,2498.1,0.0525,0.0368,5,20,1659.65,2418.76,2705.98
SKU-1055,beauty,brand_d,standard,21,6,1,0,69,1.93,621.74,0.0995,0.0301,3,22,414.91,625.74,755.94
SKU-1056,fashion,brand_d,budget,11,6,1,0,97,16.55,2639.25,0.0291,0.0582,9,29,2035.5,2566.39,3336.31
SKU-1057,home,brand_b,premium,13,3,0,0,131,19.26,2811.43,0.0473,0.0556,1,18,1954.06,2936.53,3080.0
SKU-1058,electronics,brand_a,budget,16,2,0,0,49,26.17,1299.16,0.0224,0.0245,3,15,925.06,1341.38,1551.29
SKU-1059,electronics,brand_a,budget,20,6,1,0,80,26.77,580.5,0.1238,0.0326,3,17,387.61,584.16,691.76
SKU-1060,beauty,brand_c,budget,11,3,0,0,52,7.97,1136.29,0.0903,0.008,5,21,808.6,1132.62,1233.71
SKU-1061,home,brand_d,loyal,7,6,1,0,47,15.63,2447.41,0.1492,0.0247,5,22,1780.96,2423.14,2766.62
SKU-1062,home,brand_d,standard,15,4,0,0,72,17.82,366.49,0.057,0.0733,1,29,305.78,357.21,464.37
SKU-1063,beauty,brand_a,loyal,16,5,1,0,116,7.0,1805.72,0.023,0.0672,4,30,1141.85,1802.31,2343.0
SKU-1064,home,brand_a,standard,16,4,0,0,121,5.99,370.96,0.0692,0.0697,4,22,282.2,359.29,403.39
SKU-1065,home,brand_c,premium,14,5,1,0,112,6.29,2643.5,0.075,0.0127,6,18,1787.99,2691.01,2914.97
SKU-1066,home,brand_b,premium,23,1,0,1,101,16.15,328.59,0.1488,0.0533,10,21,245.21,353.2,459.16
SKU-1067,fashion,brand_b,loyal,6,0,0,0,31,27.53,2263.83,0.0914,0.0518,5,14,1505.88,2394.76,2564.9
SKU-1068,electronics,brand_a,budget,7,2,0,0,62,6.03,1249.85,0.0198,0.0554,2,14,812.03,1341.39,1422.6
SKU-1069,fashion,brand_a,budget,20,1,0,0,102,23.94,2505.2,0.1147,0.0271,5,7,2044.21,2486.47,2997.68
SKU-1070,electronics,brand_c,budget,4,3,0,0,158,1.27,1092.45,0.0719,0.0782,2,16,735.51,1103.49,1292.54
SKU-1071,fashion,brand_c,standard,19,0,0,0,164,20.27,1761.67,0.1119,0.0416,2,10,1224.72,1845.61,1810.0
SKU-1072,grocery,brand_d,budget,5,3,0,1,6,13.22,1415.17,0.1429,0.0133,5,24,1363.72,1415.25,1839.82
SKU-1073,electronics,brand_b,premium,16,1,0,0,75,1.44,3473.73,0.1355,0.0548,4,19,1847.12,3388.55,4088.9
SKU-1074,electronics,brand_c,standard,20,5,1,0,173,26.06,2963.93,0.1116,0.0103,9,22,1824.6,3027.49,3191.57
SKU-1075,fashion,brand_d,loyal,20,5,1,1,97,2.29,1405.31,0.1483,0.0536,7,37,907.53,1510.64,1951.68
SKU-1076,fashion,brand_b,premium,14,6,1,0,102,9.46,386.34,0.107,0.011,7,20,230.09,406.52,398.02
SKU-1077,beauty,brand_a,premium,5,1,0,0,37,1.82,2786.86,0.0801,0.015,6,19,1686.87,2774.86,3108.31
SKU-1078,home,brand_d,premium,8,0,0,0,52,26.89,2521.28,0.0173,0.0347,5,20,1805.59,2510.05,2985.56
SKU-1079,beauty,brand_a,budget,17,2,0,0,130,18.6,2262.02,0.109,0.0325,1,18,1543.1,2180.78,2255.21
SKU-1080,beauty,brand_b,budget,15,5,1,0,52,4.44,1233.34,0.0695,0.0192,7,25,860.42,1285.21,1383.15
SKU-1081,fashion,brand_a,standard,6,3,0,0,41,19.86,2472.79,0.038,0.0466,4,14,1924.03,2384.83,2989.65
SKU-1082,grocery,brand_c,loyal,13,1,0,1,22,27.47,2714.51,0.0587,0.0444,7,30,2198.92,2766.61,3596.59
SKU-1083,electronics,brand_b,budget,22,0,0,0,114,15.02,1338.8,0.1104,0.0554,4,21,886.89,1423.84,1631.35
SKU-1084,electronics,brand_b,standard,1,1,0,0,107,8.02,2488.61,0.0334,0.0494,4,29,1575.88,2574.72,2993.97
SKU-1085,electronics,brand_c,premium,13,6,1,0,154,16.73,2954.87,0.0936,0.0564,7,16,1560.59,3043.32,3292.95
SKU-1086,beauty,brand_b,standard,13,5,1,1,112,17.63,941.9,0.0434,0.0761,4,32,646.76,919.39,1195.21
SKU-1087,home,brand_b,loyal,20,5,1,0,86,14.1,1243.3,0.0174,0.0146,13,17,901.54,1208.32,1398.04
SKU-1088,electronics,brand_b,loyal,6,3,0,0,67,24.95,3268.1,0.1402,0.0606,1,22,1844.22,3338.77,3683.93
SKU-1089,home,brand_a,budget,4,0,0,0,55,16.66,1939.94,0.1014,0.0444,4,14,1574.65,2086.87,2227.88
SKU-1090,electronics,brand_d,standard,10,4,0,0,78,19.65,3253.95,0.0635,0.0331,0,19,1959.07,3253.55,3535.82
SKU-1091,beauty,brand_d,budget,7,4,0,0,154,20.03,2809.0,0.0256,0.0162,6,15,2162.0,2841.56,3152.58
SKU-1092,fashion,brand_c,standard,21,4,0,0,24,12.88,1436.14,0.0616,0.0596,5,20,1007.04,1438.63,1755.72
SKU-1093,fashion,brand_a,loyal,18,4,0,1,34,11.1,2358.03,0.1028,0.0174,7,33,1611.8,2339.5,2981.12
SKU-1094,fashion,brand_b,budget,9,1,0,0,64,20.12,2753.08,0.0391,0.0498,4,15,1996.57,2700.16,3059.03
SKU-1095,home,brand_b,loyal,8,4,0,0,62,5.0,2773.37,0.1062,0.0306,2,23,1946.04,2857.94,3061.26
SKU-1096,fashion,brand_a,loyal,0,6,1,0,79,16.27,1653.47,0.0862,0.0281,1,18,1179.94,1594.03,1957.92
SKU-1097,electronics,brand_d,premium,2,1,0,0,13,11.36,1704.08,0.1026,0.0169,4,14,913.56,1734.27,1957.3
SKU-1098,electronics,brand_b,standard,13,1,0,0,145,12.11,3229.88,0.1381,0.0712,4,15,2021.46,3242.39,3525.42
SKU-1099,grocery,brand_c,standard,15,1,0,0,81,23.8,2588.34,0.1034,0.0427,5,18,2061.19,2543.53,2877.02
SKU-1100,grocery,brand_c,standard,19,4,0,0,26,6.26,2338.22,0.0725,0.0531,3,22,1999.86,2399.33,2917.17
SKU-1101,beauty,brand_b,budget,2,0,0,0,17,10.33,2042.71,0.1481,0.0297,2,29,1399.56,2065.42,2498.06
SKU-1102,fashion,brand_b,budget,3,4,0,0,134,16.8,1386.63,0.1365,0.0358,2,21,1078.82,1335.15,1529.33
SKU-1103,grocery,brand_d,budget,13,5,1,0,65,9.13,1828.25,0.1073,0.0175,8,24,1666.37,1884.96,2116.81
SKU-1104,beauty,brand_d,premium,2,2,0,0,136,25.92,2137.81,0.0665,0.0574,2,14,1219.93,2128.34,2271.09
